"param_id","file_path","last_modified","params_json","remove_numbers","split_on","split_hyphens","min_ngram_count","doc_id_field","text_field","parent_id","get_ngram"
"params_7bbdaad2","~/R_Work/results/results_params_7bbdaad2.rds",2025-02-17 02:58:56.501324,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":0,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":false}",1,"document",1,0,"doc_id","full_doc_text","doc_id",FALSE
"params_1707b5a5","~/R_Work/results/results_params_1707b5a5.rds",2025-02-17 02:58:57.119117,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":5,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",1,5,"doc_id","full_doc_text","doc_id",TRUE
"params_a9930e84","~/R_Work/results/results_params_a9930e84.rds",2025-02-17 02:58:57.624888,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":10,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",1,10,"doc_id","full_doc_text","doc_id",TRUE
"params_0a22999e","~/R_Work/results/results_params_0a22999e.rds",2025-02-17 02:58:58.008109,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":20,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",1,20,"doc_id","full_doc_text","doc_id",TRUE
"params_c2a4a7ab","~/R_Work/results/results_params_c2a4a7ab.rds",2025-02-17 02:58:58.281378,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":0,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":false}",1,"document",0,0,"doc_id","full_doc_text","doc_id",FALSE
"params_6eb68860","~/R_Work/results/results_params_6eb68860.rds",2025-02-17 02:58:58.815613,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":5,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",0,5,"doc_id","full_doc_text","doc_id",TRUE
"params_193a0cae","~/R_Work/results/results_params_193a0cae.rds",2025-02-17 02:58:59.401604,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":10,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",0,10,"doc_id","full_doc_text","doc_id",TRUE
"params_9b84bee5","~/R_Work/results/results_params_9b84bee5.rds",2025-02-17 02:58:59.977818,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":20,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",0,20,"doc_id","full_doc_text","doc_id",TRUE
"params_d8c162a1","~/R_Work/results/results_params_d8c162a1.rds",2025-02-17 02:59:02.314472,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":0,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":false}",1,"paragraph",1,0,"para_id","paragraph","file",FALSE
"params_c9d09c81","~/R_Work/results/results_params_c9d09c81.rds",2025-02-17 02:59:05.324935,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":5,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",1,5,"para_id","paragraph","file",TRUE
"params_7061a78c","~/R_Work/results/results_params_7061a78c.rds",2025-02-17 02:59:08.318718,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":10,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",1,10,"para_id","paragraph","file",TRUE
"params_b45c71b3","~/R_Work/results/results_params_b45c71b3.rds",2025-02-17 02:59:11.282814,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":20,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",1,20,"para_id","paragraph","file",TRUE
"params_aa9ea4b8","~/R_Work/results/results_params_aa9ea4b8.rds",2025-02-17 02:59:13.344192,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":0,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":false}",1,"paragraph",0,0,"para_id","paragraph","file",FALSE
"params_c0e72756","~/R_Work/results/results_params_c0e72756.rds",2025-02-17 02:59:16.341147,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":5,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",0,5,"para_id","paragraph","file",TRUE
"params_4ee7fb33","~/R_Work/results/results_params_4ee7fb33.rds",2025-02-17 02:59:19.359002,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":10,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",0,10,"para_id","paragraph","file",TRUE
"params_a053f88d","~/R_Work/results/results_params_a053f88d.rds",2025-02-17 02:59:22.343383,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":20,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",0,20,"para_id","paragraph","file",TRUE
"params_a2ac8d1f","~/R_Work/results/results_params_a2ac8d1f.rds",2025-02-17 02:59:22.611223,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":0,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":false}",0,"document",1,0,"doc_id","full_doc_text","doc_id",FALSE
"params_2353d964","~/R_Work/results/results_params_2353d964.rds",2025-02-17 02:59:22.948988,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":5,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",1,5,"doc_id","full_doc_text","doc_id",TRUE
"params_1182fdb7","~/R_Work/results/results_params_1182fdb7.rds",2025-02-17 02:59:23.282912,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":10,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",1,10,"doc_id","full_doc_text","doc_id",TRUE
"params_9d80885a","~/R_Work/results/results_params_9d80885a.rds",2025-02-17 02:59:23.602777,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":20,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",1,20,"doc_id","full_doc_text","doc_id",TRUE
"params_4077ca46","~/R_Work/results/results_params_4077ca46.rds",2025-02-17 02:59:23.874171,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":0,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":false}",0,"document",0,0,"doc_id","full_doc_text","doc_id",FALSE
"params_77ae0289","~/R_Work/results/results_params_77ae0289.rds",2025-02-17 02:59:24.21682,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":5,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",0,5,"doc_id","full_doc_text","doc_id",TRUE
"params_d2dc80a8","~/R_Work/results/results_params_d2dc80a8.rds",2025-02-17 02:59:24.542091,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":10,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",0,10,"doc_id","full_doc_text","doc_id",TRUE
"params_bb471fd7","~/R_Work/results/results_params_bb471fd7.rds",2025-02-17 02:59:24.875148,"{""remove_numbers"":0,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":20,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",0,"document",0,20,"doc_id","full_doc_text","doc_id",TRUE
"params_b11678de","~/R_Work/results/results_params_b11678de.rds",2025-02-17 02:59:27.909866,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":0,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":false}",0,"paragraph",1,0,"para_id","paragraph","file",FALSE
"params_e53c7e3d","~/R_Work/results/results_params_e53c7e3d.rds",2025-02-17 02:59:30.966073,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":5,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",0,"paragraph",1,5,"para_id","paragraph","file",TRUE
"params_6bf517e8","~/R_Work/results/results_params_6bf517e8.rds",2025-02-17 02:59:34.918141,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":10,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",0,"paragraph",1,10,"para_id","paragraph","file",TRUE
"params_80ada732","~/R_Work/results/results_params_80ada732.rds",2025-02-17 02:59:37.921027,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":20,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",0,"paragraph",1,20,"para_id","paragraph","file",TRUE
"params_aa4a394f","~/R_Work/results/results_params_aa4a394f.rds",2025-02-17 02:59:39.975227,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":0,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":false}",0,"paragraph",0,0,"para_id","paragraph","file",FALSE
"params_362c20ce","~/R_Work/results/results_params_362c20ce.rds",2025-02-17 02:59:42.985201,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":5,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",0,"paragraph",0,5,"para_id","paragraph","file",TRUE
"params_580ffca4","~/R_Work/results/results_params_580ffca4.rds",2025-02-17 02:59:45.984695,"{""remove_numbers"":0,""split_on"":""paragraph"",""split_hyphens"":0,""min_ngram_count"":10,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",0,"paragraph",0,10,"para_id","paragraph","file",TRUE
