"param_id","file_path","last_modified","params_json","remove_numbers","split_on","split_hyphens","min_ngram_count","doc_id_field","text_field","parent_id","get_ngram"
"params_7bbdaad2","~/R_Work/results/results_params_7bbdaad2.rds",2025-02-18 20:21:27.505004,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":0,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":false}",1,"document",1,0,"doc_id","full_doc_text","doc_id",FALSE
"params_1707b5a5","~/R_Work/results/results_params_1707b5a5.rds",2025-02-18 20:21:28.319238,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":5,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",1,5,"doc_id","full_doc_text","doc_id",TRUE
"params_a9930e84","~/R_Work/results/results_params_a9930e84.rds",2025-02-18 20:21:28.955048,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":10,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",1,10,"doc_id","full_doc_text","doc_id",TRUE
"params_0a22999e","~/R_Work/results/results_params_0a22999e.rds",2025-02-18 20:21:29.58637,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":1,""min_ngram_count"":20,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",1,20,"doc_id","full_doc_text","doc_id",TRUE
"params_c2a4a7ab","~/R_Work/results/results_params_c2a4a7ab.rds",2025-02-18 20:21:30.036884,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":0,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":false}",1,"document",0,0,"doc_id","full_doc_text","doc_id",FALSE
"params_6eb68860","~/R_Work/results/results_params_6eb68860.rds",2025-02-18 20:21:30.484348,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":5,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",0,5,"doc_id","full_doc_text","doc_id",TRUE
"params_193a0cae","~/R_Work/results/results_params_193a0cae.rds",2025-02-18 20:21:30.927126,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":10,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",0,10,"doc_id","full_doc_text","doc_id",TRUE
"params_9b84bee5","~/R_Work/results/results_params_9b84bee5.rds",2025-02-18 20:21:31.3588,"{""remove_numbers"":1,""split_on"":""document"",""split_hyphens"":0,""min_ngram_count"":20,""doc_id_field"":""doc_id"",""text_field"":""full_doc_text"",""parent_id"":""doc_id"",""get_ngram"":true}",1,"document",0,20,"doc_id","full_doc_text","doc_id",TRUE
"params_d8c162a1","~/R_Work/results/results_params_d8c162a1.rds",2025-02-18 20:21:33.001334,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":0,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":false}",1,"paragraph",1,0,"para_id","paragraph","file",FALSE
"params_c9d09c81","~/R_Work/results/results_params_c9d09c81.rds",2025-02-18 20:21:34.693679,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":5,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",1,5,"para_id","paragraph","file",TRUE
"params_7061a78c","~/R_Work/results/results_params_7061a78c.rds",2025-02-18 20:21:36.516228,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":10,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",1,10,"para_id","paragraph","file",TRUE
"params_b45c71b3","~/R_Work/results/results_params_b45c71b3.rds",2025-02-18 20:21:38.286037,"{""remove_numbers"":1,""split_on"":""paragraph"",""split_hyphens"":1,""min_ngram_count"":20,""doc_id_field"":""para_id"",""text_field"":""paragraph"",""parent_id"":""file"",""get_ngram"":true}",1,"paragraph",1,20,"para_id","paragraph","file",TRUE
